wellName,datasetName,MD,GR
,,M,gAPI
GAG-  2A,PUBLIC_000,31.0896,20.5
GAG-  2A,PUBLIC_000,31.242,20.469
GAG-  2A,PUBLIC_000,31.3944,20.109
GAG-  2A,PUBLIC_000,31.5468,21.062
GAG-  2A,PUBLIC_000,31.6992,19.109
GAG-  2A,PUBLIC_000,31.8516,19.141
GAG-  2A,PUBLIC_000,32.004,22.734
GAG-  2A,PUBLIC_000,32.1564,23.719
GAG-  2A,PUBLIC_000,32.3088,26.031
GAG-  2A,PUBLIC_000,32.4612,23.734
GAG-  2A,PUBLIC_000,32.6136,22.719
GAG-  2A,PUBLIC_000,32.766,23.016
GAG-  2A,PUBLIC_000,32.9184,24.375
GAG-  2A,PUBLIC_000,33.0708,23.812
GAG-  2A,PUBLIC_000,33.2232,21.609
GAG-  2A,PUBLIC_000,33.3756,19.609
GAG-  2A,PUBLIC_000,33.528,21.109
GAG-  2A,PUBLIC_000,33.6804,18.766
GAG-  2A,PUBLIC_000,33.8328,20.141
GAG-  2A,PUBLIC_000,33.9852,20.219
GAG-  2A,PUBLIC_000,34.1376,22.547
GAG-  2A,PUBLIC_000,34.29,22.859
GAG-  2A,PUBLIC_000,34.4424,22.219
GAG-  2A,PUBLIC_000,34.5948,22.5
GAG-  2A,PUBLIC_000,34.7472,22.453
GAG-  2A,PUBLIC_000,34.8996,20.75
GAG-  2A,PUBLIC_000,35.052,20.719
GAG-  2A,PUBLIC_000,35.2044,17.797
GAG-  2A,PUBLIC_000,35.3568,19.141
GAG-  2A,PUBLIC_000,35.5092,20.109
GAG-  2A,PUBLIC_000,35.6616,22.359
GAG-  2A,PUBLIC_000,35.814,22.672
GAG-  2A,PUBLIC_000,35.9664,22.031
GAG-  2A,PUBLIC_000,36.1188,21.453
GAG-  2A,PUBLIC_000,36.2712,19.922
GAG-  2A,PUBLIC_000,36.4236,19
GAG-  2A,PUBLIC_000,36.576,18.344
GAG-  2A,PUBLIC_000,36.7284,18.953
GAG-  2A,PUBLIC_000,36.8808,18.844
GAG-  2A,PUBLIC_000,37.0332,19.781
GAG-  2A,PUBLIC_000,37.1856,20.75
GAG-  2A,PUBLIC_000,37.338,21.812
GAG-  2A,PUBLIC_000,37.4904,22.797
GAG-  2A,PUBLIC_000,37.6428,21.141
GAG-  2A,PUBLIC_000,37.7952,21.125
GAG-  2A,PUBLIC_000,37.9476,20.422
GAG-  2A,PUBLIC_000,38.1,22.359
GAG-  2A,PUBLIC_000,38.2524,23.359
GAG-  2A,PUBLIC_000,38.4048,25.047
GAG-  2A,PUBLIC_000,38.5572,24.047
GAG-  2A,PUBLIC_000,38.7096,22.75
GAG-  2A,PUBLIC_000,38.862,21.734
GAG-  2A,PUBLIC_000,39.0144,22.094
GAG-  2A,PUBLIC_000,39.1668,22.406
GAG-  2A,PUBLIC_000,39.3192,22.078
GAG-  2A,PUBLIC_000,39.4716,23.062
GAG-  2A,PUBLIC_000,39.624,26.391
GAG-  2A,PUBLIC_000,39.7764,27.078
GAG-  2A,PUBLIC_000,39.9288,27.438
GAG-  2A,PUBLIC_000,40.0812,26.438
GAG-  2A,PUBLIC_000,40.2336,25.766
GAG-  2A,PUBLIC_000,40.386,25.719
GAG-  2A,PUBLIC_000,40.5384,23.109
GAG-  2A,PUBLIC_000,40.6908,21.516
GAG-  2A,PUBLIC_000,40.8432,19.562
GAG-  2A,PUBLIC_000,40.9956,21.812
GAG-  2A,PUBLIC_000,41.148,23.75
GAG-  2A,PUBLIC_000,41.3004,26.984
GAG-  2A,PUBLIC_000,41.4528,25.984
GAG-  2A,PUBLIC_000,41.6052,25.906
GAG-  2A,PUBLIC_000,41.7576,23.594
GAG-  2A,PUBLIC_000,41.91,24.516
GAG-  2A,PUBLIC_000,42.0624,24.828
GAG-  2A,PUBLIC_000,42.2148,28.422
GAG-  2A,PUBLIC_000,42.3672,30.109
GAG-  2A,PUBLIC_000,42.5196,29.188
GAG-  2A,PUBLIC_000,42.672,24.641
GAG-  2A,PUBLIC_000,42.8244,22.969
GAG-  2A,PUBLIC_000,42.9768,23.062
GAG-  2A,PUBLIC_000,43.1292,24.781
GAG-  2A,PUBLIC_000,43.2816,23.922
GAG-  2A,PUBLIC_000,43.434,25.188
GAG-  2A,PUBLIC_000,43.5864,25.125
GAG-  2A,PUBLIC_000,43.7388,25.984
